READER,GENDER,SUBSET,NAME
31,M,train-other-500,Martin Clifton
36,M,train-other-500,Chip
60,M,train-clean-100,CBW Simon
66,M,train-other-500,Alex Foster
77,F,train-other-500,JemmaBlythe
82,F,train-other-500,Marlo Dianne
85,M,train-other-500,David Leaman
90,M,train-clean-360,Dan Threetrees
92,F,train-other-500,Cori Samuel
115,F,train-clean-360,Maddie
121,F,test-clean,Nikolle Doolin
123,F,train-other-500,Ezwa
126,F,train-clean-360,Susan Denney
207,M,train-clean-360,Kevin McAsh
216,M,train-clean-360,Thomas Davoren
227,F,train-clean-360,Sarah Key-DeLyria
237,F,test-clean,rachelellen
240,M,train-clean-360,Shurtagal
245,M,train-other-500,Peter of Buckinghamshire England
250,F,train-clean-100,Mary Reagan
307,M,train-clean-100,Randy Phillips
310,F,train-other-500,Dexnell Peters
313,F,train-other-500,Dilini Jayasinghe
336,M,train-other-500,Harvey Chinn
359,M,train-clean-360,John Nicholson
365,M,train-other-500,Jon Ingram
451,F,train-clean-360,Sonserae Leese-Calver
466,F,train-other-500,Joy Chan
474,M,train-other-500,Zachary Brewster-Geisz
479,F,train-clean-360,wedschild
487,M,train-clean-360,Clayton J. Smith
510,M,train-clean-360,Kirk Thomas
569,M,train-other-500,Frank
572,M,train-other-500,Rebecca Dittman
596,F,train-clean-360,Carol Goode
614,F,train-other-500,Christine Blachford
667,F,train-clean-360,Bethany Simpson
679,M,train-other-500,rhodian
684,F,train-other-500,Lizzie Driver
698,F,train-clean-360,Randi Warwick
700,F,dev-other,Susan Hooks
705,F,train-other-500,eva
726,M,train-other-500,Paul
753,M,train-other-500,Tim Bulkeley
783,F,train-clean-360,Gina
797,M,train-other-500,Mike Shapiro
803,M,train-clean-360,Greg Elmensdorp
811,F,train-other-500,Elizabeth
836,M,train-clean-360,Kevin LaVergne
876,F,train-other-500,Alisha
920,F,train-clean-360,Sarah Bean
925,F,train-clean-360,pattymarie
1049,M,train-other-500,Sam Fold
1081,M,train-clean-100,Fracture
1092,F,train-other-500,Maria
1096,M,train-other-500,Geoff Dugwyler
1161,M,train-other-500,Dominic Moore
1179,M,train-other-500,Alan Chant
1250,F,train-other-500,Christina Boyles
1260,M,train-other-500,Chris Hughes
1289,F,train-clean-360,Joanne Pauwels
1290,F,train-clean-360,librarianite
1323,M,train-clean-360,Leon Mire
1336,M,train-clean-360,Charlie Blakemore
1343,F,train-clean-360,Laura Koskinen
1348,F,train-clean-360,Janet Friday
1349,M,train-clean-360,John Pruden
1363,F,train-clean-100,Tammy Sanders
1367,M,train-other-500,Joe Brenneman
1373,F,train-other-500,Kira Belkin
1390,F,train-clean-360,C.L.Coney
1403,M,train-other-500,tipaew
